Cliente;Login;Endereco;Numero;Bairro;Cidade;Estado
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_MACAIBA;RUA RAIMUNDO DANTAS CORTEZ;68; CENTRO; MACAIBA; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_MACAIBA;RUA RAIMUNDO DANTAS CORTEZ;68; CENTRO; MACAIBA; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_LUZILANDIA;RUA RAIMUNDO DANTAS CORTEZ;68; CENTRO; MACAIBA; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_LUZILANDIA;RUA HUGO DE CASTRO;557; CENTRO; LINHARES; ES
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_LAURO_DE_FREITAS;RUA BRIGADEIRO MARIO EPINGHAUS;78; CENTRO; LAURO DE FREITAS; BA
MUNICIPIO DE IGUATU;RESIDENCIAL_DOM_MAURO;Rua José de Alencar; s/n; Jardim Oásis; Iguatu - CE;
CONDOMINIO EDIFICIO EQUATORIAL TRADE CENTER;EQUATORIAL;Avenida Desembargador Moreira;;;;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ESCR_CEARA_SOBRAL_CRED;RUA CORONEL DIOGO GOMES;1050; CENTRO; SOBRAL; CE
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BL_PC_ESCR_CEARA_SOBRAL_CRED;RUA CORONEL DIOGO GOMES;1050; CENTRO;SOBRAL;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ENTRE_RIOS;AVENIDA ROMEU DE ARAUJO VELOSO;31; CENTRO; ENTRE RIOS; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_DELMIRO_GOUVEIA_COMPARTILHADO;PRACA MANOEL MONTEIRO;81; CENTRO; DELMIRO GOUVEIA; AL
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CURURUPU;RUA PRAÇA DA BANDEIRA;109; CENTRO; CURURUPU; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_CURURUPU;RUA PRAÇA DA BANDEIRA;109; CENTRO; CURURUPU; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CRUZ_DAS_ALMAS_COMPARTILHADO;RUA JB DA FONSECA;86; CENTRO; CRUZ DAS ALMAS; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_COROATA;RUA CENTRAL;275; TRIZIDELA; COROATA; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_COROATA;RUA CENTRAL;275; TRIZIDELA; COROATA; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CODO;RUA PROF. FERNANDO DE CARVALHO;1940; CENTRO; CODO; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_CODO;RUA PROF. FERNANDO DE CARVALHO;1940; CENTRO; CODO; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CAXIAS_VOLTA_REDONDA;AVENNIDA DA COHEB;1401; VOLTA REDONDA; CAXIAS; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_CAXIAS_VOLTA_REDONDA;AVENIDA DA COHEB;1401; VOLTA REDONDA; CAXIAS; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CASA_NOVA_COMPARTILHADO;QUADRA L- 0 LOTE 9 - A; S/N; CENTRO; CASA NOVA; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CAPIM_GROSSO;AVENIDA LEONÍCIO FERREIRA DOS SANTOS;21; CENTRO; CAPIM GROSSO; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CAMPO_FORMOSO__COMPARTILHADO;AVENIDA JUCA MARQUES;172; CENTRO; CAMPO FORMOSO; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CACULE__COMPARTILHADO;AVENIDA CONEGO MIGUEL MONTEIRO;520; CENTRO; CACULE; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_BURITICUPU;AVENIDA SANTA HELENA;10; CENTRO; BURITICUPU; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_BURITICUPU;AVENIDA SANTA HELENA;10; CENTRO; BURITICUPU; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICAD_PC_BARRA_DA_ESTIVA__COMPARTILHADO;RUA TEIXEIRA DE FREITAS;340; CENTRO; BARRA DA ESTIVA; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ARAPIRACA_JARDIM_TROPICAL;AV GOVERNADOR ANTONIO SEMEÃO LAMENHA FILHO;158; JARDIM TROPICAL; ARAPIRACA; AL
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ARAPIRACA_CENTRO;RUA MANOEL ABREU;97; CENTRO; ARAPIRACA; AL
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_ARACAJU_JARDINS;AVENIDA PAULO VI;556; INACIO BARBOSA; ARACAJU; SE
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_ANDARAI_COMPARTILHADO;Av. Dr. Silas Munguba;5.700; Bloco D2; Praça - Passaré - Fortaleza-CE;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_ANDARAI_COMPARTILHADO;PRACA SAO FRANCISCO; S/N; IBIRAPITANGA; ANDARAI; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_ANAPURUS;RUA GOVERNADOR NUNES FREIRE; S/N; CENTRO; ANAPURUS; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ANAPURUS;RUA GOVERNADOR NUNES FREIRE; S/N; CENTRO; ANAPURUS; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_AMARANTE_DO_MARANHAO;RUA HUMBERTO DE CAMPO; S/N; CENTRO; AMARANTE DO MARANHAO; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_AMARANTE_DO_MARANHAO;RUA HUMBERTO DE CAMPO; S/N; CENTRO; AMARANTE DO MARANHAO; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ALAGOINHAS_15_DE_NOVEMBRO;PRACA BARÃO DO RIO BRANCO;50; CENTRO; ALAGOINHAS; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_AFOGADOS_DA_INGAZEIRA;TRAVESSA JOAO DA CRUZ; CENTRO; AFOGADOS DA INGAZEIRA; PE;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_OPALA;RUA CORINTO ANDRADE;; CENTRO; OPALA; PI
