Cliente;Login;Endereco;Numero;Bairro;Cidade;Estado
MUNICIPIO DE ELDORADO DO SUL;BIBLIOTECA_TELECENTRO;R. Adão Bortowiski; 170 LOTEAMENTO;;;
MUNICIPIO DE ELDORADO DO SUL;SECRETARIA_DE_EDUCACAO;Av. Emancipação; 381 CENTRO;;;
MUNICIPIO DE ELDORADO DO SUL;SECRETARIA_DE_SAUDE_ELDORADO;Av. Emancipação; 903 - 2º piso CENTRO;;;
MUNICIPIO DE ELDORADO DO SUL;SECRETARIA_DE_ASSISTENCIA_SOCIAL;Av. Emancipação; 599 CENTRO;;;
MUNICIPIO DE ELDORADO DO SUL;SECRETARIA_DE_AGRICULTURA;Rua Brasil; nº 135 RESIDENCIAL;;;
MUNICIPIO DE ELDORADO DO SUL;PREFEITURA_PONTO_NOC_CCO;Estr. da Arrozeira; 270 - Centro; Eldorado do Sul - RS; 92990-000 1° andar;
MUNICIPIO DE TEUTONIA;POSTE_29;Teutônia;;;;
MUNICIPIO DE TEUTONIA;POSTE_25;RUA CARLOS ARNT DIVISA PAVERAMA;;;;
MUNICIPIO DE TEUTONIA;POSTE_24;RUA 16 DE ABRIL ESQUINA RUA ERI DIESNTMANN;;;;
MUNICIPIO DE TEUTONIA;POSTE_23;RUA ERNANI JULIO SIPPEL - (BAR DA HELGA);;;;
MUNICIPIO DE TEUTONIA;POSTE_22;RUA CARLOS ARNT X RUA GUILHERME TRENEPOLL (FAZENDA SÃO JOSÉ);;;;
MUNICIPIO DE TEUTONIA;POSTE_21;RUA ERI DIENSTMANN X RUA 16 DE ABRIL (LOT 8);;;;
MUNICIPIO DE TEUTONIA;POSTE_19;RS 128 X SÃO JACÓ;;;;
MUNICIPIO DE TEUTONIA;POSTE_18;RUA CAPITÃO SCHNEIDER X RUA GUILHERME S. SOBRINHO (RUA DAS LOJAS);;;;
MUNICIPIO DE TEUTONIA;POSTE_17;LINHA RIBEIRA X LINHA WINCK;;;;
MUNICIPIO DE TEUTONIA;POSTE_16;RUA CARLOS ARNT X RUA SALGADO FILHO (POSTO IPIRANGA);;;;
MUNICIPIO DE TEUTONIA;POSTE_15;RUA DOM PEDRO II X RUA ARNALDO KRUG (IECEG);;;;
MUNICIPIO DE TEUTONIA;POSTE_14;RS 128 X RUA 17 DE JUNHO (TREVO MAISON);;;;
MUNICIPIO DE TEUTONIA;POSTE_13;RUA FREDOLINO FREDERICO WASEN X RUA BALDUINO NINOW (VILA ESPERANÇA);;;;
MUNICIPIO DE TEUTONIA;POSTE_12;AV. UM LESTE X RUA LOURENÇO GRIEBELER (VILA POPULAR);;;;
MUNICIPIO DE TEUTONIA;POSTE_11;RUA MAJOR BANDEIRA X RS 128 (TREVO ALESGUT - CEMITARIO);;;;
MUNICIPIO DE TEUTONIA;POSTO_10;RUA CARLOS ARNT X AV LEOPOLDO SCHNEIDER (ESTRADA VELHA);;;;
MUNICIPIO DE TEUTONIA;POSTE_9;RUA AFONSO WALLAUER (BAR DO ROHRIG);;;;
MUNICIPIO DE TEUTONIA;POSTE_8;RUA MAJOR BANDEIRA X RUA 3 DE OUTUBRO (ED IMPERADOR);;;;
MUNICIPIO DE TEUTONIA;POSTE_7;RUA ERNO DAHMER X RUA 3 DE OUTUBRO (PONTE VARZEA);;;;
MUNICIPIO DE TEUTONIA;POSTE_6;RUA ARTHUR PILZ X RUA GUSTAVO H. SCHUK (LOJAS RONI);;;;
MUNICIPIO DE TEUTONIA;POSTE_2;RS 128 X RUA MAURICIO CARDOSO (TREVO POSTO FASCINA);;;;
MUNICIPIO DE TEUTONIA;POSTE_3;RUA MAURICIO CARDOSO X RUA LEOPODO FIEGENBAUN;;;;
MUNICIPIO DE TEUTONIA;POSTE_4;RUA ALFREDO DRIEMEYER X RS 453 (TREVO HARMONIA);;;;
MUNICIPIO DE TEUTONIA;POSTE_5;RUA MAJOR BANDEIRA X RUA IVO DIETREICH (LOT CASTRO);;;;
MUNICIPIO DE TEUTONIA;POSTE_1;RS453 X RUA MAURICIO CARDOSO (DESVIO BAIANA);;;;
MUNICIPIO DE TEUTONIA;BRIGADA_MILITAR__NOC_TEUTONIA;AV 01 OESTE;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Maranhão;DNIT_IMPERATRIZ;BR 010 KM 251;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Maranhão;DNIT_BARAODEGRAJAU;BR -230 KM 02 AV. RODOVIÁRIA;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;COORD_DE_APOIO_AO_SERVIDOR_APOSENTADO;Avenida Jovita Feitosa;;;;
MUNICIPIO DE CAUCAIA;LUIZA_MORAES_CORREIA_TAVORA_EEIEF;RUA SAO MATEUS SN; PARQUE ALBANO;;;
MUNICIPIO DE CAUCAIA;MANUEL_CAMILO_EEIEF;RUA BOGOTA JUREMA;;;;
MUNICIPIO DE CAUCAIA;POLO_AVANCADO_DE_ENSINO_INTEGRAL_DE_CAUCAIA;Rua Coronel Correia; 1119 - Soledade; Caucaia - CE; 61603-005;
MUNICIPIO DE CAUCAIA;SANTA_JOANA_DARC_EEIEF;RUA RIO CEARA NOVA METROPOLE;;;;
MUNICIPIO DE CAUCAIA;AUGUSTO_CESAR_SILVA_SALES_EEIEF;RUA 15 DE NOVEMBRO PARQUE ALBANO (JUREMA);;;;
MUNICIPIO DE CAUCAIA;Escola_Ritade_Cassia_Brasileiro_Pontes;AV CENTRAL 1112 CONJUNTO ARATURI;;;;
MUNICIPIO DE CAUCAIA;SEBASTIAO_BEZERRA_DOS_SANTOS_EEIEF;RUA SOLIMOES N° 361 ARIANOPOLES;;;;
MUNICIPIO DE CAUCAIA;ROBERTO_JOSE_BASTOS_MACAMBIRA_EEIEF;RUA 01 S/N TABAPUA;;;;
MUNICIPIO DE CAUCAIA;PROFESSORA_RAIMUNDA_MOREIRA_BATISTA_NEDI;RUA SANTA MARTA N° 260 ARATURI;;;;
MUNICIPIO DE CAUCAIA;PARAISO_DO_SABER_ESCOLA;RUA ANHANGA CONJ METROPOLITANO;;;;
MUNICIPIO DE CAUCAIA;JOSEFA_ALVES_DOS_SANTOS_EEIEF;RUA DR JOAO NOGUEIRA N° 430 TABAPUA;;;;
MUNICIPIO DE CAUCAIA;GUIOMAR_RIBEIRO_DIAS_CEI;RUA SANTA LUZIA N° 1878 TABAPUAZINHO;;;;
MUNICIPIO DE CAUCAIA;GUADALAJARA_ESCOLA;RUA SACI N° 519 TABAPUA;;;;
MUNICIPIO DE CAUCAIA;CORONEL_RAIMUNDO_DE_OLIVEIRA_EEIEF;RUA PAULO GOMES DA SILVA PARQUE SOLEDADE;;;;
MUNICIPIO DE CAUCAIA;CAIC_PROF_FRANCISCA_ESTRELA_TORQUATO_FIRMEZA_NEDI;RUA DO GRUPO N° 552 PE. JULIO MARIA;;;;
MUNICIPIO DE CAUCAIA;AURENIR_FERREIRA_DE_LIMA_CEI;RUA CONTORNO SUL S/N PLANALTO CAUCAIA;;;;
MUNICIPIO DE CAUCAIA;AFFONSO_DE_MEDEIROS_EEIEF;RUA 05 S/N PARQUE SOLEDADE;;;;
MUNICIPIO DE CAUCAIA;TIO_MANUEL_EEIEF;RUA UMARIZAL N48 TABAPUAZINHO;;;;
MUNICIPIO DE CAUCAIA;TIA_LERLEANE_NEDI;RUA SAO FRANCISCO NOVO PABUSSU;;;;
MUNICIPIO DE CAUCAIA;SANTA_RITA_ESCOLA;AV NOVA ALVORADA PQ POTIRA;;;;
MUNICIPIO DE CAUCAIA;RAIMUNDO_JERONIMO_DE_SOUSA_EEIEF;RUA JULIO ROCHA N° 220 JUREMA;;;;
MUNICIPIO DE CAUCAIA;PATRONATO_PIO_XI_EEIEF;RUA JOSE CUSTODIO SAMPAIO ITAMBE II;;;;
MUNICIPIO DE CAUCAIA;OSMAR_DIOGENES_PINHEIRO_EEIEF;RUA EDMUNDO RODRIGUES PARQUE DAS NACOES;;;;
MUNICIPIO DE CAUCAIA;NOELIA_ALENCAR_EEIEF;RUA 6 PARQUE SOLEDADE;;;;
MUNICIPIO DE CAUCAIA;NAIR_MAGALHAES_GUERRA_EEIEF;RUA JOAQUIM BENTO CAVALCANTE PADRE JULIO MARIA;;;;
MUNICIPIO DE CAUCAIA;MARIA_MOTA_RODRIGUES_EEIEF;RUA CORONEL CORREIA ARATURI;;;;
MUNICIPIO DE CAUCAIA;LUIZ_DE_GONZAGA_FONSECA_MOTA_EEIEF;AV CONTORNO OESTE NOVA METROPOLE;;;;
MUNICIPIO DE CAUCAIA;LAR_FABIANO_DE_CRISTO;AV DOM ALMEIDA LUSTOSA PARQUE ALBANO;;;;
MUNICIPIO DE CAUCAIA;EDUCANDARIO_SAO_FRANCISCO_EEIEF;RUA PADRE ALFREDO NESI ARIANOPOLIS;;;;
MUNICIPIO DE CAUCAIA;DOM_ANTONIO_DE_ALMEIDA_LUSTOSA_EEIEF;RUA PERY NOVA METROPOLE V;;;;
MUNICIPIO DE CAUCAIA;CORALIA_GONZAGA_SALES_EEIEF;RUA VEREADOR GILBERTO GADELHA DA ROCHA ARIANOPOLES;;;;
MUNICIPIO DE CAUCAIA;BRASILEIRINHO;RUA POLONIA CONJ METROPOLITANO;;;;
MUNICIPIO DE CAUCAIA;ANTONIO_ALBUQUERQUE_SOUSA_FILHO_EEIEF;RUA HERIBALDO RODRIGUES PARQUE GUADALAJARA;;;;
MUNICIPIO DE CAUCAIA;TIRADENTES_EEIEF;RUA VERA CRUZ N° 1879 PARQUE GUADALAJARA (JUREMA);;;;
MUNICIPIO DE CAUCAIA;PEQUENO_COTOLENGO_DOM_ORIONE_ESCOLA;TRAVESSA PE. JOSE MARIA MOURA ARATURI;;;;
MUNICIPIO DE CAUCAIA;MUNDO_MAGICO_NEDI;TRAVESSA SANTA CECILIA ITAMBE I;;;;
MUNICIPIO DE CAUCAIA;INA_ARRUDA_EEIEF;FRANCISCO FERREIRA DA SILVA ITAMBE;;;;
MUNICIPIO DE CAUCAIA;GREGORIO_CELESTINO_CENTRO_PEDAGOGICO_PE;AV CONTORNO LESTE S/N NOVA METROPOLE;;;;
MUNICIPIO DE CAUCAIA;FLAVIO_PORTELA_MARCILIO_EEIEF;RUA 05 N° 23 PARQUE SAO GERARDO;;;;
MUNICIPIO DE CAUCAIA;DANILO_DALMO_DA_ROCHA_CORREIA_EEIEF;RUA ACAPULCO N° 1805 PQ GUADALAJARA;;;;
MUNICIPIO DE CAUCAIA;DAVI_RODRIGUES_MOURA_CEI;RUA DOS CORREGOS PARQUE GUADALAJARA;;;;
MUNICIPIO DE CAUCAIA;DANILO_DALMO_DA_ROCHA_CORREA_EEIEF;Rodovia CE 090;;;;
MUNICIPIO DE CAUCAIA;AFONSO_BARBOSA_CEI;RUA SACI N° 519 PARQUE GUARDALAJARA;;;;
MUNICIPIO DE CAUCAIA;AUGUSTO_BEZERRA_EEIEF;RUA Y N° 223 PARQUE POTIRA;;;;
MUNICIPIO DE CAUCAIA;12_DE_OUTUBRO_EEIEF;RUA GALIENTE PQ SOLEDADE;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;PLANTAO_DO_CONSELHO_TUTELAR_FORTALEZA;Avenida Jovita Feitosa;;;;
MUNICIPIO DE CAUCAIA;VALMIRA_BATISTA_PEREIRA_CEI;ALFREDO BEZERRA N° 1380 CONJUNTO METROPOLITANO;;;;
MUNICIPIO DE CAUCAIA;UNIFAN_UNIVERSO_INFANTIL_COLEGIO;RUA E-23 N° 155 PQ ARATURI;;;;
MUNICIPIO DE CAUCAIA;TIAGO_PEIXOTO_NEDI_DR;RUA SAO TIAGO N° 140 CONJ PATRICIA GOMES;;;;
MUNICIPIO DE CAUCAIA;TIA_DEINHA_NEDI;RUA SARAMANDAIA S/N MARECHAL RONDON;;;;
MUNICIPIO DE CAUCAIA;TIA_ANA_CRECHE;RUA DAS FLORES PARQUE DAS NACOES;;;;
MUNICIPIO DE CAUCAIA;SECRETARIA_MUNICIPAL_DE_SEGURANCA;RUA FERNANDO RODRIGUES MONTEIRO N° 181 PADRE ROMUALDO;;;;
MUNICIPIO DE CAUCAIA;SECRETARIA_MUNICIPAL_DE_GOVERNO;RUA D; PADRE ROMUALDO;;;
MUNICIPIO DE CAUCAIA;SECRETARIA_MUNICIPAL_PLANEJAMENTO_URBANO_AMBIENTAL;RUA JERONIMO AMARAL 99 CENTRO CAUCAIA -CE;;;;
MUNICIPIO DE CAUCAIA;PROFISSIONAL_BATISTA_EEIEF;RUA MARIA FIRMINO MENDES; GRILO;;;
MUNICIPIO DE CAUCAIA;NOVA_METROPOLE_NEDI;AV B CONJUNTO SAO MIGUEL;;;;
MUNICIPIO DE CAUCAIA;MONSENHOR_ANDRE_VIANA_CAMURCA_EEIEF;RUA NW 05 CONJ METROPOLITANO;;;;
MUNICIPIO DE CAUCAIA;JOBEL_CENTRO_EDUC;RUA MENINO JESUS PARQUE SOLEDADE;;;;
MUNICIPIO DE CAUCAIA;IRMA_DA_PAZ_CRECHE;RODOVIA RDO PESSOA DE ARAUJO S/N TOCO;;;;
MUNICIPIO DE CAUCAIA;InstitutoDo_MeioAmbiente_MunicipioCaucaia_IMAC;Rodovia CE 090;;;;
MUNICIPIO DE CAUCAIA;FRANCISCA_ALVES_DO_AMARAL_EEIEF;AV B NOVA METROPOLE;;;;
MUNICIPIO DE CAUCAIA;EDSON_QUEIROZ_NEDI;AV CENTRAL OESTE ARIANOPOLIS;;;;
MUNICIPIO DE CAUCAIA;EDGARD_VIEIRA_GUERRA_EEIEF;AV CONTORNO SUL NOVA METROPOLE;;;;
MUNICIPIO DE CAUCAIA;ECONOMISTA_RUBENS_VAZ_DA_COSTA_EEIEF;AV NOVO HORIZONTE PARQUE GUADALAJARA;;;;
MUNICIPIO DE CAUCAIA;DANILO_SA_BENEVIDES_MAGALHAES_EEIEF;RUA JOAO PAULO II CIGANA;;;;
MUNICIPIO DE CAUCAIA;DALVA_PONTES_DA_ROCHA_EEIEF;RUA QUINTINO JOSE CORREIA ACUDE;;;;
MUNICIPIO DE CAUCAIA;CRESCER_FELIZ_NEDI;RUA JOSE DE PONTES PARQUE SOLEDADE;;;;
MUNICIPIO DE CAUCAIA;COMUNITARIA_DO_ARATURI;RUA NW 02; 112 ARATURI;;;
MUNICIPIO DE CAUCAIA;ANTONIO_MIRANDA_DE_MELO_EEIEF;RUA PEDRO ALVES DE MENEZES N° 1095 PARQUE GUADALAJARA;;;;
MUNICIPIO DE CAUCAIA;ANTONIO_BRAGA_DA_ROCHA_EEIEF;RUA 112 S/N PLANALTO CAUCAIA;;;;
MUNICIPIO DE CAUCAIA;7_DE_SETEMBRO_EEIEF;DOM ALMEIDA LUSTOSA PARQUE POTIRA;;;;
MUNICIPIO DE IGUATU;Calcada_MotoTaxi_Lateral_RestauranteDom_Parente;Rua Jose de Alencar x Rua Adeodato Matos Cavalcante;;;;
MUNICIPIO DE IGUATU;Calcada_em_frente_Posto_CombustivelFomento;Rua Cel José Jucá x Rua Elita Nogueira Castelo Branco;;;;
MUNICIPIO DE IGUATU;Proximo_Entrada_Dakota_EmFrente_Pracinha;Rua Porfirio Alves;;;;
MUNICIPIO DE IGUATU;Canteiro_Central_Rotatoria_SentidoJucas;Av Presidente Dutra x Av Marechal Castelo Branco;;;;
MUNICIPIO DE IGUATU;CanteiroCentral_PostoCombustivelCeara;Av Deoclécio Lima Verde x Av Marechal Castelo Branco;;;;
MUNICIPIO DE IGUATU;Calcada_FarmaciaFeitosa;(Alto do Juca) Cruzamento Av. Joaquim Ailton Alexandre x Rua Antônio Adil de Mendonça;;;;
MUNICIPIO DE IGUATU;Calcada_emFrente_entrada_TubForm;Rua Guilhardo Gomes de Araujo;;;;
MUNICIPIO DE IGUATU;Calcada_Savana_Burguer_Em_frente_HotelCanteiro;RUA PROFESSOR JOÃO COELHO / BAIRRO - RODOVIÁRIA;;;;
MUNICIPIO DE IGUATU;Calcada_Oliveira_CELL_ProxLoja_Macavi;(Cruzamento) Rua Epitácio Pessoa x Rua 23 de Novembro / Bairro - Centro;;;;
MUNICIPIO DE IGUATU;Entrada_VilaGadelha_Parada_onibus;CE 060 em frente ao Condomínio Residencial Dom José Mauro; Localizado na Vila Gadelha;;;
MUNICIPIO DE IGUATU;Prox_PSF_AcademiaPublica_Canteiro_divisao_da_Aven.;(Vila Suassura) - Av. São João Batista;;;;
MUNICIPIO DE IGUATU;Prox_Parque_Infantil_Calcada_Linha_Ferrea;Rua Francisco Holanda Montenegro;;;;
MUNICIPIO DE IGUATU;Em_Frente_Praca_da_Igreja;(Vila Barro Alto) - Rua Antônio Pereira Alves;;;;
MUNICIPIO DE IGUATU;Calcada_da_Farmacia_Feitosa;Av. Joaquim Ailton Alexandre;147;;;
MUNICIPIO DE IGUATU;EmFrente_Lagoa_PUB_Canteirode_DivisaodaAv;R. Vinte e Um de Abril;;;;
MUNICIPIO DE IGUATU;Praca_em_Frente_Nori_Sushi;(Centro) Rua Dr. João Pessoa INSTALADO PELO ENDEREÇO: RUA SENADOR POMPEU;;;;
MUNICIPIO DE IGUATU;Calcada_atrasDo_BancoBradesco;R. Santos Dumont;;;;
MUNICIPIO DE IGUATU;Esquinada_Entradaprincipal_Estadio_Morenao;R. Juscelino Kubistchek;;;;
MUNICIPIO DE IGUATU;Canteiro_Central_prox_estacaode_esgoto;Avenida Franquinha Dantas;;;;
MUNICIPIO DE IGUATU;CalcadaDo_Colegio_Carlosde_Gouveia;Rua Dr João Pessoa x Rua Cel Virgilio Correia;;;;
MUNICIPIO DE IGUATU;Calcada_kinado_Espetinho_Frente_ao_BeachClub;Rua Porfirio Alves;;;;
MUNICIPIO DE IGUATU;Calcada_casanumero214_Emfrente_redutordevelocidade;Rua Vicente Bezerra da Costa;;;;
MUNICIPIO DE IGUATU;Calcada_LojaZEST_Proximo_mercadocentral;Av. Agenor Araújo / Bairro - Centro;;;;
MUNICIPIO DE IGUATU;Calcada_QuirinoAdvocacia_Emfrente_CRI;(Cruzamento) Rua Agenor Araújo x Rua 23 de Novembro / Bairro - Centro;;;;
MUNICIPIO DE IGUATU;Calcada_da_Eletroshoping_Tavares;Rua Floriano Peixoto; Bairro-Centro;;;
MUNICIPIO DE IGUATU;Calcada_da_panificadora_Iguatuense;(Esquina) Rua Santos Dumont x Rua Deocleciano Bezerra / Bairro-Centro;;;;
MUNICIPIO DE IGUATU;Calcada_Linha_ferrea_CruzamentoParalelo_SushiCia;(Centro) Av. Dr. Jose Holanda Montenegro x Rua Gustavo Correia;;;;
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE IGUATU;CADASTRO_UNICO;R ENGENHEIRO WILTON CORREIA LIMA;;;;
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE IGUATU;PROGRAMA_CRIANCA_FELIZ;R ENGENHEIRO WILTON CORREIA LIMA;;;;
MUNICIPIO DE IGUATU;Sala_Arrecadacao_SEFAM;Rua Doutor João Pessoa;602;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Pará;INSS_GOIANESIA_DO_PARA;AVENIDA DA PAZ;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Pará;INSS_DOM_ELISEU;RUA SANTA CLARA;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS Rio Grande do Norte;ICMBIO_NISIAFLORESTA;ESTRADA DO TIMBÓ;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Maranhão;INSS_ARAIOES;RUA 28 DE JULHO;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Maranhão;INSS_PINDAREMIRIM;PRAÇA DO ESTUDANTE;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Maranhão;INSS_ITINGADOMARANHAO;Rua Gurupi Parque Primavera 65939000 - Itinga do Maranhão;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;SESEC_CENTRAL_COINSP;Avenida Jovita Feitosa;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CASA_DA_INFANCIA_DA_ADOLESCENCIA;Avenida Jovita Feitosa;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CONSELHO_TUTELAR_8;Avenida Alberto Craveiro;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CONSELHO_TUTELAR_7;Rua João Tomé;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CONSELHO_TUTELAR_6;Rua Pedro Dantas;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CONSELHO_TUTELAR_5;Av. Alanis Maria Laurindo de Oliveira;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CONSELHO_TUTELAR_4;Rua Padre Ambrósio Machado;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CONSELHO_TUTELAR_3;Rua Silveira Filho;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CONSELHO_TUTELAR_2;Rua da Paz;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;CONSELHO_TUTELAR_1;Rua Guilherme Rocha;;;;
MUNICIPIO DE IGUATU;Quadra_Esportiva_Praca_Da_Juventude;Rua: Porfirio Alves; Nº 20 - 63504-445;;;
MUNICIPIO DE IGUATU;Prefeitura_de_Iguatu_300mb;RUA GUILHARDO GOMES DE ARAUJO;;;;
MUNICIPIO DE IGUATU;Predio_administrativo_SEDA;Rua João XXIII; N° 35; Bairro São Sebastião;;
MUNICIPIO DE IGUATU;Secretaria_do_Gabinete;RUA DR. JOÃO PESSOA S/N CENTRO IGUATU;;;;
MUNICIPIO DE IGUATU;PREDIO_RuaFranciscoBatistaDantas;R. Francisco Batista Dantas; S/N - Areias II; Iguatu - CE; 63500-000;
MUNICIPIO DE IGUATU;Secretaria_de_cultura;Avenida Sabino Antunes; S/N Bairro Novo Iguatu;;;
MUNICIPIO DE IGUATU;MUSEU;R. Treze de Maio; 1130 - Prado; Iguatu - CE; 63500-000;
MUNICIPIO DE IGUATU;BIBLIOTECA_PUBLICA;R. Dr Joao Pessoa S/N- Centro;;;;
MUNICIPIO DE IGUATU;ESCOLA_DE_MUSICA;R. Vinte e Sete de Novembro; 645-743 - Prado; Iguatu - CE; 63500-000;
MUNICIPIO DE SOBRAL;PREFEITURA_DE_SOBRAL;R. Viriato de Medeiros; 1250 - Centro Sobral;;;
MUNICIPIO DE SOBRAL;SAAE_ETA_DOMEXPEDITO_SEINFRA;Rua José Lopes Ponte;275; Dom Expedito; Sobral; CE
MUNICIPIO DE SOBRAL;CENTRO_DE_CONVECOES_STDE;End: Av Dom José;1205; Centro; Sobral; CE
MUNICIPIO DE SOBRAL;MERCADO_PUBLICO;RUA CORONEL DIOGO GOMES;2180;;;
3 COM SERVICOS DE APOIO A ESCRITORIO LTDA;CIRCUITO_CHOROZINHO;Estr. Lagamar;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;ACADEMIA_DO_PROFESSOR_DARCY_RIBEIRO;Rua Dona Leopoldina;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_NOSSA_SENHORA_DO_SAGRADO_CORACAO;Rua Ana Gonçalves;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;ESCOLA_MUNICIPAL_MARIA_ZELIA_CORREIA_DES_OUZA;Rua Antônio Pereira;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;ESCOLA_MUNICIPAL_PROFESSORA_IRENE_DE_SOUZA_PEREIRA;Rua F (Lot Edith Bedê);;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;ESCOLA_MUNICIPAL_ABDENAGO_DA_ROCHA_LIMA;Rua 114 (Cj Tupan Mirim);;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;ESCOLA_MUNICIPAL_PAULO_SARASATE;Rua Pedro Muniz;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;ESCOLA_MUNICIPAL_MANUEL_LIMA_SOARES;Rua 130 (Cj Tupan Mirim);;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;CEI_PAULOSARASATE;Rua Pedro Muniz;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;CEI_PARQUE_SAO_MIGUEL;Travessa Silveira da Mota;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_MARIA_DOLORES_PETROLA_DE_MELO_JORGE;Rua Paulino Rocha;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;CEI_MARIA_DOLORES_PETROLA_DE_MELO_JORGE;Rua Sargento Barbosa;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;CEI_REITOR_ANTONIO_MARTINS_FILHO_UNID_1;Rua Humberto Lomeu;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_NOSSA_SENHORA_APARECIDA_EI;Rua Teresa Cristina;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_PROFESSORA_EDITH_BRAGA_EI;Rua Capitão Vasconcelos;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_PROFESSORA_VANIA_MARIA_NEVES_FACO_BARROS_UNID_1;Rua 16 (Cj Prefeito José Walter);;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_PROFESSORA_VICENTINA_CAMPOS_MARINHO_LOPES;Avenida Norte Sul;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;CEI_PROFESSORA_EDITH_BRAGA;Rua Capitão Vasconcelos;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_NARCISO_PESSOA_DE_ARAUJO_EF;Avenida General Osório de Paiva;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;CEI_DALILA_DELMAS_MONTENEGRO;Rua 6 (Cj Alto Alegre);;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_PROFESSORA_LIREDA_FACO_UNDII;Rua João XXIII;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;CEI_MARIA_LUIZA_MOTA_MACHADO;Rua Serena;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;CEI_MARIA_LUIZA_BARBOSA_CHAVES;Rua Oscar Franca;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_TOMAZ_MUNIZ_EI_EF;Rua Doutora Vanda Cidade;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;VERIFICAR_EM_ADALBERTO_STUDART_FILHO;Rua do Campo;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_JOSE_BATISTA_DE_OLIVEIRA;Rua Goiás;;;;
MUNICIPIO DE FORTALEZA SECRETARIA MUNICIPAL DE EDUCACAO SME;EM_PROFESSORA_MARIA_LIDUINA_CORREA_LEITE;Rua Fernão Magalhães;;;;
